"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"1","L","UZ","1","12,23 1228",1,2.55088598665397,0.0431,0.986421495225821
"2","L","UZ","1","12,23 1228",1,2.16842644836274,0.0401,0.901257875462484
"3","L","UZ","1","12,23 1228",1,1.62785132688106,0.0302,0.898372696954228
"4","L","UZ","1","12,23 1228",1,1.59858242677825,0.0292,0.91243289199672
"5","L","UZ","1","12,23 1228",1,1.63560073812088,0.0359,0.759331818997623
"6","L","UZ","1","12,23 1228",1,1.41666731796673,0.0335,0.704809610928724
"7","L","UZ","1","12,23 1228",2,4.25849087269811,0.0508,1.39714267476972
"8","L","UZ","1","12,23 1228",2,2.74952815841581,0.0641,0.714905917424806
"9","L","UZ","1","12,23 1228",2,3.11440533542562,0.0414,1.25378636691853
"10","L","UZ","1","12,23 1228",2,3.26208493788816,0.0471,1.15431172607507
"11","L","UZ","1","12,23 1228",2,3.14114048442902,0.0496,1.05549075417642
"12","L","UZ","1","12,23 1228",2,1.59728429468873,0.051,0.521988331597623
"13","L","UZ","1","12,23 1228",1,1.76357970577138,0.036,0.81647208600527
"14","L","UZ","1","12,23 1228",1,1.55568705089818,0.0382,0.678746531805489
"15","L","UZ","1","12,23 1228",1,3.28363863298658,0.057,0.960128255259233
"16","L","UZ","1","12,23 1228",1,3.16941364723188,0.0501,1.05436249076244
"17","L","UZ","1","12,23 1228",1,2.70879205539355,0.0492,0.917612484889412
"18","L","UZ","1","12,23 1228",1,2.54378392631385,0.0416,1.01914420124754
"19","L","UZ","1","12,23 1228",1,2.34207813786926,0.0263,1.48420667799066
"20","L","UZ","1","12,23 1228",4,5.15455675770935,0.0892,0.963108512277532
"21","L","UZ","1","12,23 1228",4,4.33166299651576,0.0973,0.7419772176286
"22","L","UZ","1","12,23 1228",4,5.44578127263332,0.091,0.997395837478629
"23","L","UZ","1","12,23 1228",4,3.16762386228061,0.0813,0.649369385461381
"24","L","UZ","1","12,23 1228",4,5.0913302278482,0.0969,0.875701793575542
"25","L","UZ","1","12,23 1228",4,5.04110903322769,0.0883,0.951511708800998
"26","L","UZ","1","12,23 1228",3,2.80181090188311,0.0737,0.633607169127796
"27","L","UZ","1","12,23 1228",3,4.84942997543008,0.08,1.01029791154793
"28","L","UZ","1","12,23 1228",3,4.89531586608453,0.0852,0.95761264986004
"29","L","UZ","1","12,23 1228",3,5.32296276612786,0.1029,0.862157882430816
"30","L","UZ","1","12,23 1228",3,4.85715792470748,0.096,0.843256584150604
"31","L","UZ","1","12,23 1228",3,3.18199224030044,0.0925,0.573331935189269
"32","L","UZ","1","12,23 1228",3,4.2876934342655,0.0948,0.753813894913063
"33","L","UZ","1","12,23 1228",3,3.2017974590541,0.0549,0.972008943246539
"34","L","UZ","1","12,23 1228",1,2.59054571342023,0.0442,0.976827192089077
"35","L","UZ","1","12,23 1228",1,4.69689160030063,0.0698,1.12151184343377
"36","L","UZ","1","12,23 1228",1,3.75218347205716,0.0766,0.816401973902776
"37","L","UZ","1","12,23 1228",1,3.27116341140087,0.0605,0.901146945289495
"38","L","UZ","1","12,23 1228",1,2.9268878305333,0.0563,0.866455840892037
"39","L","UZ","1","12,23 1228",1,3.78908524257793,0.0678,0.931436883622893
"40","L","UZ","1","12,23 1228",1,2.78409457364347,0.069,0.672486611991177
"41","L","UZ","1","12,23 1228",1,1.97050046988471,0.0397,0.82724620901961
"42","L","UZ","1","12,23 1228",1,3.17084815599838,0.061,0.866351955190813
"43","L","UZ","1","12,23 1228",1,2.5441499160605,0.0629,0.674125573942898
"44","L","UZ","1","12,23 1228",1,2.40483099139134,0.0616,0.650657735766055
"45","L","UZ","1","12,23 1228",5,4.64129619482504,0.0929,0.832668854471662
"46","L","UZ","1","12,23 1228",5,3.48888518332503,0.0901,0.64537276791066
"47","L","UZ","1","12,23 1228",5,5.47355770954367,0.0982,0.928981281321058
"48","L","UZ","1","12,23 1228",5,3.55596704955701,0.0871,0.680437629077116
"49","L","UZ","1","12,23 1228",5,5.13273298735008,0.1038,0.824138244596994
"50","L","UZ","1","12,23 1228",5,4.87252113625431,0.0827,0.981967177802158
"51","L","UZ","1","12,23 1228",4,4.10882496030494,0.0662,1.03444737167798
"52","L","UZ","1","12,23 1228",4,2.58595102809611,0.0824,0.523048347106818
"53","L","UZ","1","12,23 1228",4,5.38490885368137,0.0925,0.970253847510157
"54","L","UZ","1","12,23 1228",4,4.96160860347222,0.1093,0.756573437552945
"55","L","UZ","1","12,23 1228",4,3.5825811217511,0.0974,0.613035784009428
"56","L","UZ","1","12,23 1228",4,3.41088318024401,0.0961,0.591551019813391
"57","L","UZ","1","12,23 1228",4,3.14489982089559,0.0977,0.536489222261274
"58","L","UZ","1","12,23 1228",4,1.95546850288764,0.0448,0.727480841848082
"59","L","UZ","1","12,23 1228",2,2.88875975359349,0.0592,0.813276957655824
"60","L","UZ","1","12,23 1228",2,4.10285537924015,0.0822,0.831884707875131
"61","L","UZ","1","12,23 1228",2,4.04789123711349,0.0937,0.720009113680805
"62","L","UZ","1","12,23 1228",2,2.54081896918932,0.0582,0.727611388656735
"63","L","UZ","1","12,23 1228",2,3.20135810544128,0.0794,0.671989526750899
"64","L","UZ","1","12,23 1228",2,4.40503741610747,0.0819,0.896426010603882
"65","L","UZ","1","12,23 1228",2,3.70117012609125,0.0781,0.789835707659252
"66","L","UZ","1","12,23 1228",2,3.59390651277832,0.0431,1.38975503201018
"67","L","UZ","1","12,23 1228",2,3.9004183081325,0.0779,0.834492577692019
"68","L","UZ","1","12,23 1228",2,3.76375478119944,0.0755,0.830850945077138
"69","L","UZ","1","12,23 1228",2,2.76021226566691,0.076,0.605309707383094
"70","L","UZ","1","12,23 1228",6,4.86754366606176,0.1002,0.809638001673613
"71","L","UZ","1","12,23 1228",6,5.69267152865105,0.1129,0.84037076006068
"72","L","UZ","1","12,23 1228",6,5.43985559105438,0.1053,0.861009115393223
"73","L","UZ","1","12,23 1228",6,4.93051152025257,0.1027,0.80014792603904
"74","L","UZ","1","12,23 1228",6,5.65934672216449,0.1221,0.772501600077053
"75","L","UZ","1","12,23 1228",6,5.16269964034944,0.1049,0.82025733084675
"76","L","UZ","1","12,23 1228",5,4.52989864590392,0.095,0.794719060684898
"77","L","UZ","1","12,23 1228",5,3.91601225514822,0.1018,0.641128398026886
"78","L","UZ","1","12,23 1228",5,4.91671432360749,0.1109,0.738911079592349
"79","L","UZ","1","12,23 1228",5,4.23193555992147,0.1255,0.562010034518124
"80","L","UZ","1","12,23 1228",5,5.58504315124016,0.1146,0.812251767196067
"81","L","UZ","1","12,23 1228",5,4.6712912145944,0.1156,0.673484892530911
"82","L","UZ","1","12,23 1228",5,4.93223247863255,0.1057,0.777709315457672
"83","L","UZ","1","12,23 1228",5,4.77732561414496,0.0758,1.05042339800901
"84","L","UZ","1","12,23 1228",3,4.77765800959611,0.0682,1.1675606084057
"85","L","UZ","1","12,23 1228",3,4.84529531680448,0.0964,0.837706659198562
"86","L","UZ","1","12,23 1228",3,4.60179473684218,0.1109,0.691583218641746
"87","L","UZ","1","12,23 1228",3,4.10050127188395,0.0862,0.792827005391328
"88","L","UZ","1","12,23 1228",3,4.36298676143943,0.0911,0.798204676443364
"89","L","UZ","1","12,23 1228",3,3.64366972584671,0.0973,0.624129792025815
