"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"196","L","BE","1","12,23 0208",6,1.91114048140043,0.0746,0.426975085210106
"197","L","BE","1","12,23 0208",6,2.38465228255646,0.0533,0.745669881975127
"198","L","BE","1","12,23 0208",5,3.88709978586722,0.094,0.68920208969277
"199","L","BE","1","12,23 0208",5,3.53478634330114,0.0771,0.764112914678154
"200","L","BE","1","12,23 0208",5,3.5284730661696,0.0656,0.896461652990245
"201","L","BE","1","12,23 0208",5,3.62790601798477,0.0912,0.662994520830549
"202","L","BE","1","12,23 0208",5,3.24878094804009,0.0842,0.643068279501206
"203","L","BE","1","12,23 0208",4,2.6464315151515,0.0542,0.813785828767373
"204","L","BE","1","12,23 0208",4,3.21417735346357,0.081,0.6613533649102
"205","L","BE","1","12,23 0208",4,2.83056311277202,0.0679,0.694787214720673
"206","L","BE","1","12,23 0208",4,3.1094279373368,0.1005,0.515659691100629
"207","L","BE","1","12,23 0208",4,2.48077800776195,0.053,0.780118870365392
"208","L","BE","1","12,23 0208",4,3.35061076923074,0.0771,0.724299777179148
"209","L","BE","1","12,23 0208",4,2.77902628571426,0.066,0.701774314574308
"210","L","BE","1","12,23 0208",4,2.46726241610736,0.0631,0.651680511385991
"211","L","BE","1","12,23 0208",4,2.95394968814966,0.0768,0.641048109407479
"212","L","BE","1","12,23 0208",4,3.5408187886279,0.0949,0.621850858557763
"213","L","BE","1","12,23 0208",4,3.68852974296202,0.0944,0.651223471568153
"214","L","BE","1","12,23 0208",4,3.72448799999996,0.0881,0.704594778660606
"215","L","BE","1","12,23 0208",4,3.04998061041289,0.0856,0.593843576793788
"216","L","BE","1","12,23 0208",4,2.89068618850027,0.0727,0.662697429734129
"217","L","BE","2","16,23 0208",8,1.44462796709752,0.0557,0.432264502422956
"218","L","BE","2","16,23 0208",8,1.57135381026437,0.0706,0.37095226871208
"219","L","BE","1","12,23 0208",8,1.4838086597938,0.0813,0.3041838170959
"220","L","BE","1","12,23 0208",8,2.75641400491398,0.0791,0.58078676883986
"221","L","BE","1","12,23 0208",8,2.53272316751266,0.1124,0.375552071102115
"222","L","BE","1","12,23 0208",8,1.70173797825209,0.0861,0.329411145615969
"223","L","BE","1","12,23 0208",8,1.47993857827474,0.0704,0.35036424675065
"224","L","BE","1","12,23 0208",8,3.46550648423554,0.0935,0.617737341218456
"225","L","BE","1","12,23 0208",7,2.43392110019643,0.1028,0.394604588228994
"226","L","BE","1","12,23 0208",7,3.3432906895208,0.0897,0.621198567358008
"227","L","BE","1","12,23 0208",7,4.29039614346312,0.1073,0.666417543253047
"228","L","BE","1","12,23 0208",7,2.12752577319585,0.0919,0.385840727819341
"229","L","BE","1","12,23 0208",7,2.80606332134062,0.0937,0.499121899918288
"230","L","BE","1","12,23 0208",6,3.02131858805854,0.0917,0.549130968385775
"231","L","BE","1","12,23 0208",6,3.51752252788099,0.1093,0.536371230234979
"232","L","BE","1","12,23 0208",6,2.78563315566987,0.0752,0.617383234855911
"233","L","BE","1","12,23 0208",6,3.335514181553,0.104,0.534537529095032
"234","L","BE","1","12,23 0208",6,2.93968585365849,0.0911,0.537812999205725
"235","L","BE","1","12,23 0208",6,4.49242135407453,0.1082,0.691993431003471
"236","L","BE","1","12,23 0208",6,3.09078598949207,0.094,0.548011700264552
"237","L","BE","1","12,23 0208",6,3.77601401804297,0.0968,0.650140154621723
"238","L","BE","1","12,23 0208",6,2.24142176379574,0.0822,0.454465077817465
"239","L","BE","1","12,23 0208",6,3.50987162600234,0.1108,0.52795902918206
"240","L","BE","1","12,23 0208",6,2.52971287430211,0.101,0.417444368696717
"241","L","BE","1","12,23 0208",6,3.15269562007043,0.1086,0.483839106824805
"242","L","BE","1","12,23 0208",6,3.89723249001325,0.1068,0.608182348628785
"243","L","BE","1","12,23 0208",6,2.95965311778286,0.0861,0.572910011185223
"244","L","BE","1","12,23 0208",9,1.16820846394984,0.078,0.249617193151676
"245","L","BE","1","12,23 0208",9,1.98730264385692,0.0812,0.407902841514146
"246","L","BE","1","12,23 0208",9,1.93699974312869,0.104,0.310416625501392
"247","L","BE","1","12,23 0208",9,1.42873557251908,0.0801,0.297281642222031
"248","L","BE","1","12,23 0208",9,1.84172074709742,0.0672,0.456775978942813
"249","L","BE","1","12,23 0208",9,2.31470815407703,0.087,0.443430680857669
"250","L","BE","1","12,23 0208",8,1.74607754394652,0.0928,0.313591512921429
"251","L","BE","1","12,23 0208",8,1.84550191458026,0.0781,0.393833101703
"252","L","BE","1","12,23 0208",8,2.07208379562043,0.0966,0.357502380196761
"253","L","BE","1","12,23 0208",8,1.53478002894355,0.0804,0.318155064043025
"254","L","BE","1","12,23 0208",8,1.9607641662685,0.0873,0.374334510551452
"255","L","BE","1","12,23 0208",7,2.3475766153846,0.08,0.489078461538459
"256","L","BE","1","12,23 0208",7,3.44885815968155,0.1208,0.475835838808161
"257","L","BE","1","12,23 0208",7,1.6979257817929,0.07,0.404268043284024
"258","L","BE","1","12,23 0208",7,1.96828308115542,0.0969,0.338541981622879
"259","L","BE","1","12,23 0208",7,2.4563673024523,0.0907,0.451372161420856
"260","L","BE","1","12,23 0208",7,3.40897565804272,0.1049,0.541623078811998
"261","L","BE","1","12,23 0208",7,2.95358851802401,0.0927,0.531029938515643
"262","L","BE","1","12,23 0208",7,2.42855920617418,0.0912,0.443815644403176
"263","L","BE","1","12,23 0208",7,1.73065631832093,0.0777,0.371226151505991
"264","L","BE","1","12,23 0208",7,2.58229670424976,0.1042,0.413035301383518
"265","L","BE","1","12,23 0208",7,2.05905372112915,0.0921,0.372611965459491
"266","L","BE","1","12,23 0208",7,3.10237620660454,0.1073,0.481885089562681
"267","L","BE","1","12,23 0208",7,2.97484371859293,0.0876,0.565990053004743
"268","L","BE","1","12,23 0208",7,2.18658398340247,0.0778,0.468419876478677
"269","L","BE","1","12,23 0208",11,0.98137728987993,0.0752,0.217503831976935
"270","L","BE","1","12,23 0208",11,0.924814943705219,0.072,0.214077533265097
"271","L","BE","1","12,23 0208",11,1.02582266288952,0.0988,0.173047007909838
"272","L","BE","1","12,23 0208",11,1.05479774506734,0.0762,0.230708168212453
"273","L","BE","1","12,23 0208",11,1.34328624396323,0.069,0.324465276319622
"274","L","BE","1","12,23 0208",11,1.20881072203285,0.0752,0.267910177755507
"275","L","BE","1","12,23 0208",10,1.29480832177531,0.0908,0.237666725729683
"276","L","BE","1","12,23 0208",10,1.23278093194359,0.0894,0.229824931383966
"277","L","BE","1","12,23 0208",10,1.10775386491843,0.0745,0.247819656581305
"278","L","BE","1","12,23 0208",10,0.887266494767178,0.0778,0.190074227670775
"279","L","BE","1","12,23 0208",9,1.00159335849057,0.0721,0.231528746761573
"280","L","BE","1","12,23 0208",9,1.67452678973435,0.1074,0.259858285185344
"281","L","BE","1","12,23 0208",9,1.06827112371288,0.0671,0.265343051096095
"282","L","BE","1","12,23 0208",9,0.991722761692651,0.0916,0.180444461734471
"283","L","BE","1","12,23 0208",9,1.5107019179699,0.0832,0.302624582926663
"284","L","BE","1","12,23 0208",9,1.52963920879121,0.0916,0.278318633331734
"285","L","BE","1","12,23 0208",9,1.12771652579423,0.082,0.229210675974437
"286","L","BE","1","12,23 0208",9,1.13189395564575,0.0826,0.228388610905115
"287","L","BE","1","12,23 0208",9,1.00509073086349,0.0692,0.242073875448816
