"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"1","L","UZ","2","16,23 1228",1,3.77138038725795,0.0508,1.23732952337859
"2","L","UZ","2","16,23 1228",1,2.75597185185184,0.0347,1.32371366563489
"3","L","UZ","2","16,23 1228",1,1.31979808748728,0.0225,0.97762821295354
"4","L","UZ","2","16,23 1228",1,1.18147980652962,0.0193,1.02027617144181
"5","L","UZ","2","16,23 1228",1,3.99390814696485,0.0509,1.30776298197932
"6","L","UZ","2","16,23 1228",1,2.98510664825409,0.0395,1.2595386701494
"7","L","UZ","2","16,23 1228",1,2.08546658864833,0.0326,1.06618946249915
"8","L","UZ","2","16,23 1228",1,2.42049918110836,0.0401,1.00602625981229
"9","L","UZ","2","16,23 1228",1,2.92867333081856,0.0515,0.947790721947753
"10","L","UZ","2","16,23 1228",1,3.25253014925373,0.044,1.23201899592944
"11","L","UZ","2","16,23 1228",1,2.84165647840532,0.0461,1.02735230600337
"12","L","UZ","2","16,23 1228",1,1.91455585174366,0.0349,0.914305564347498
"13","L","UZ","2","16,23 1228",1,2.5760332247557,0.0475,0.903871306931826
"14","L","UZ","2","16,23 1228",1,1.49339935483871,0.0528,0.471401311502119
"15","L","UZ","2","16,23 1228",1,2.32674647236539,0.0211,1.83787241103111
"16","L","UZ","2","16,23 1228",1,2.76714063380283,0.0325,1.41904647887324
"17","L","UZ","2","16,23 1228",1,2.12875884401115,0.043,0.825100327136104
"18","L","UZ","2","16,23 1228",1,1.23885372413793,0.021,0.983217241379313
"19","L","UZ","2","16,23 1228",1,3.13724452031411,0.0431,1.21316493438287
"20","L","UZ","2","16,23 1228",1,1.95014916624559,0.0307,1.05871290241346
"21","L","UZ","2","16,23 1228",1,1.78153990360646,0.0293,1.01339016132335
"22","L","UZ","2","16,23 1228",1,2.38924816581676,0.0369,1.07915454643937
"23","L","UZ","2","16,23 1228",1,3.06239158375471,0.045,1.13421910509434
"24","L","UZ","2","16,23 1228",1,2.09883547657513,0.0358,0.977111488163469
"25","L","UZ","2","16,23 1228",1,1.81275713599232,0.0298,1.01384627292636
"26","L","UZ","2","16,23 1228",2,4.29676535172414,0.0706,1.014344983882
"27","L","UZ","2","16,23 1228",2,3.89360434546442,0.0607,1.06908411462505
"28","L","UZ","2","16,23 1228",2,2.84920834670946,0.0395,1.20219761464534
"29","L","UZ","2","16,23 1228",2,3.24270118764845,0.0393,1.37519134336236
"30","L","UZ","2","16,23 1228",2,5.70729326748113,0.0691,1.37657821212763
"31","L","UZ","2","16,23 1228",2,4.25343446515188,0.0517,1.37119099456863
"32","L","UZ","2","16,23 1228",2,5.53995219084709,0.0675,1.36788942983879
"33","L","UZ","2","16,23 1228",2,3.01089930638602,0.0713,0.703810029543249
"34","L","UZ","2","16,23 1228",2,4.11109286726497,0.0501,1.36762903102627
"35","L","UZ","2","16,23 1228",2,4.66768102683778,0.0534,1.45682928428145
"36","L","UZ","2","16,23 1228",2,3.72249286043295,0.0656,0.945755299906746
"37","L","UZ","2","16,23 1228",2,3.38089731451977,0.0434,1.29834766302603
"38","L","UZ","2","16,23 1228",2,5.34381584871675,0.052,1.71276148997332
"39","L","UZ","2","16,23 1228",2,3.43277199999997,0.074,0.773146846846841
"40","L","UZ","2","16,23 1228",2,2.69873169230767,0.0603,0.745918101798692
"41","L","UZ","2","16,23 1228",2,4.13890598216224,0.033,2.0903565566476
"42","L","UZ","2","16,23 1228",2,2.45727129649535,0.0636,0.643939018997735
"43","L","UZ","2","16,23 1228",2,2.77200919931854,0.0327,1.41284872544268
"44","L","UZ","2","16,23 1228",2,2.85442360876894,0.0395,1.20439814715989
"45","L","UZ","2","16,23 1228",2,3.96583168440823,0.0469,1.40932184946988
"46","L","UZ","2","16,23 1228",2,4.46948061919499,0.0545,1.36681364501376
"47","L","UZ","2","16,23 1228",2,3.08177702509688,0.0574,0.894824920179119
"48","L","UZ","2","16,23 1228",2,2.68306109090906,0.0294,1.52100968872396
"49","L","UZ","2","16,23 1228",4,7.27302547033294,0.1315,0.921802974693656
"50","L","UZ","2","16,23 1228",4,4.67113655172419,0.1002,0.776968820978741
"51","L","UZ","2","16,23 1228",4,4.54246565064484,0.0727,1.04137222619093
"52","L","UZ","2","16,23 1228",4,4.84616872828358,0.0727,1.11099695742402
"53","L","UZ","2","16,23 1228",4,3.56980892244342,0.1116,0.533125585789041
"54","L","UZ","2","16,23 1228",4,5.18380800000007,0.1055,0.81892701421802
"55","L","UZ","2","16,23 1228",4,5.84795560518097,0.1136,0.857974707332888
"56","L","UZ","2","16,23 1228",4,6.27551507936517,0.1331,0.785814560401349
"57","L","UZ","2","16,23 1228",4,6.26417612524471,0.1315,0.793938672401104
"58","L","UZ","2","16,23 1228",4,3.62674142367073,0.1091,0.554039325339249
"59","L","UZ","2","16,23 1228",4,5.87899195937378,0.1035,0.946697577998998
"60","L","UZ","2","16,23 1228",4,3.46687964934257,0.1089,0.530590702378721
"61","L","UZ","2","16,23 1228",4,5.29371081750627,0.0959,0.920005355840506
"62","L","UZ","2","16,23 1228",4,5.89295336450507,0.1143,0.85928162212089
"63","L","UZ","2","16,23 1228",4,4.2033568250151,0.1221,0.573758780373341
"64","L","UZ","2","16,23 1228",4,5.52400023738881,0.1207,0.762772747499146
"65","L","UZ","2","16,23 1228",4,3.57200651162797,0.0805,0.739545861620698
"66","L","UZ","2","16,23 1228",4,3.13028499619198,0.1004,0.519635623537846
"67","L","UZ","2","16,23 1228",4,5.46183485477187,0.1211,0.751697612822994
"68","L","UZ","2","16,23 1228",4,4.97920186046521,0.0832,0.997436270125241
"69","L","UZ","2","16,23 1228",4,4.22412363636371,0.0999,0.704725331392011
"70","L","UZ","2","16,23 1228",4,3.07057491821161,0.0964,0.530873948515148
"71","L","UZ","2","16,23 1228",4,3.41370307941659,0.0954,0.596384185782074
"72","L","UZ","2","16,23 1228",4,6.03789611130943,0.0998,1.00833268391941
"73","L","UZ","2","16,23 1228",5,4.42173057367833,0.1485,0.496266057651889
"74","L","UZ","2","16,23 1228",5,4.18122495559506,0.1178,0.591571159535238
"75","L","UZ","2","16,23 1228",5,5.76294207985965,0.0931,1.03167598994981
"76","L","UZ","2","16,23 1228",5,4.52246840052021,0.0921,0.818398190466922
"77","L","UZ","2","16,23 1228",5,3.29424010163036,0.0988,0.555708519168414
"78","L","UZ","2","16,23 1228",5,3.18750597609566,0.1067,0.497892217446994
"79","L","UZ","2","16,23 1228",5,3.32070579439256,0.1203,0.460058990633494
"80","L","UZ","2","16,23 1228",5,5.18217742134492,0.1437,0.601041222610174
"81","L","UZ","2","16,23 1228",5,5.33361114047577,0.1402,0.634047924450282
"82","L","UZ","2","16,23 1228",5,2.91281093247593,0.1023,0.474553752439871
"83","L","UZ","2","16,23 1228",5,5.76889108280262,0.1232,0.780423577218969
"84","L","UZ","2","16,23 1228",5,3.8043479457441,0.0954,0.664631017775
"85","L","UZ","2","16,23 1228",5,4.11414843205581,0.1064,0.644446809532552
"86","L","UZ","2","16,23 1228",5,5.43999372848956,0.1372,0.660835001031288
"87","L","UZ","2","16,23 1228",5,3.92135490895444,0.138,0.473593588037976
"88","L","UZ","2","16,23 1228",5,4.06869359021867,0.1392,0.487152010323116
"89","L","UZ","2","16,23 1228",5,3.25166637362643,0.0912,0.594237275882022
"90","L","UZ","2","16,23 1228",5,2.62637732705546,0.0942,0.464681055742296
"91","L","UZ","2","16,23 1228",5,5.12296293103456,0.1347,0.63387316642348
"92","L","UZ","2","16,23 1228",5,2.9590983484284,0.0917,0.537822309783423
"93","L","UZ","2","16,23 1228",5,4.07107511885903,0.119,0.570178588075494
"94","L","UZ","2","16,23 1228",5,2.64611357852541,0.096,0.459394718493995
"95","L","UZ","2","16,23 1228",5,2.48040560069148,0.0934,0.44261341910983
"96","L","UZ","2","16,23 1228",5,5.52405038560421,0.1201,0.766590394893729
"97","L","UZ","2","16,23 1228",6,3.7370121722396,0.1381,0.451003158609654
"98","L","UZ","2","16,23 1228",6,3.34501724056044,0.1274,0.437600371606547
"99","L","UZ","2","16,23 1228",6,3.63054128138935,0.0968,0.6250931958315
"100","L","UZ","2","16,23 1228",6,2.83383122831367,0.0861,0.548554244737452
"101","L","UZ","2","16,23 1228",6,2.53618680714614,0.091,0.464503078231893
"102","L","UZ","2","16,23 1228",6,2.48965388272584,0.0946,0.438628238676152
"103","L","UZ","2","16,23 1228",6,3.23630481738742,0.1068,0.505041326059211
"104","L","UZ","2","16,23 1228",6,3.19330858283434,0.1321,0.402890308205191
"105","L","UZ","2","16,23 1228",6,3.50619929762952,0.1206,0.484549377781857
"106","L","UZ","2","16,23 1228",6,2.68174213153898,0.0935,0.478028900452581
"107","L","UZ","2","16,23 1228",6,3.89476208897488,0.1198,0.541842249440022
"108","L","UZ","2","16,23 1228",6,2.31783137836123,0.0926,0.417176274003101
"109","L","UZ","2","16,23 1228",6,2.9473011957206,0.0932,0.527056723126001
"110","L","UZ","2","16,23 1228",6,3.53900714582471,0.1196,0.493172679184045
"111","L","UZ","2","16,23 1228",6,3.21462983970409,0.1172,0.457143037500582
"112","L","UZ","2","16,23 1228",6,3.52599015259413,0.1272,0.462000806157512
"113","L","UZ","2","16,23 1228",6,2.60916633105117,0.0945,0.46017042875682
"114","L","UZ","2","16,23 1228",6,2.86519776536316,0.0873,0.547002246155623
"115","L","UZ","2","16,23 1228",6,2.7850453754941,0.1207,0.384568541217081
"116","L","UZ","2","16,23 1228",6,2.6181745155608,0.0914,0.477420590000146
"117","L","UZ","2","16,23 1228",6,3.19573571290013,0.1258,0.423388409234251
"118","L","UZ","2","16,23 1228",6,2.16165579250723,0.0862,0.417953556169225
"119","L","UZ","2","16,23 1228",6,2.63997830637491,0.0838,0.525055351307659
"120","L","UZ","2","16,23 1228",6,5.08420878747884,0.12,0.706140109372061
"121","L","UZ","2","16,23 1228",7,2.96612184368735,0.1244,0.397390386346108
"122","L","UZ","2","16,23 1228",7,2.75466613861383,0.1228,0.373868911321096
"123","L","UZ","2","16,23 1228",7,1.99992319093285,0.0869,0.383567930750451
"124","L","UZ","2","16,23 1228",7,2.26235930006479,0.077,0.489688160187183
"125","L","UZ","2","16,23 1228",7,1.69092708600768,0.081,0.347927383952198
"126","L","UZ","2","16,23 1228",7,2.33246273844847,0.0873,0.445296437275385
"127","L","UZ","2","16,23 1228",7,2.75658006295905,0.0977,0.470245660689022
"128","L","UZ","2","16,23 1228",7,2.64499083557949,0.1251,0.352383537913601
