"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"126","L","UZ",2,"16,23 1228",5,2.91281093247593,0.1023,0.474553752439871
"127","L","UZ",2,"16,23 1228",5,5.76889108280262,0.1232,0.780423577218969
"128","L","UZ",2,"16,23 1228",5,3.8043479457441,0.0954,0.664631017775
"129","L","UZ",2,"16,23 1228",5,4.11414843205581,0.1064,0.644446809532552
"130","L","UZ",2,"16,23 1228",5,5.43999372848956,0.1372,0.660835001031288
"131","L","UZ",2,"16,23 1228",5,3.92135490895444,0.138,0.473593588037976
"132","L","UZ",2,"16,23 1228",5,4.06869359021867,0.1392,0.487152010323116
"133","L","UZ",2,"16,23 1228",5,3.25166637362643,0.0912,0.594237275882022
"134","L","UZ",2,"16,23 1228",5,2.62637732705546,0.0942,0.464681055742296
"135","L","UZ",2,"16,23 1228",5,5.12296293103456,0.1347,0.63387316642348
"136","L","UZ",2,"16,23 1228",5,2.9590983484284,0.0917,0.537822309783423
"137","L","UZ",2,"16,23 1228",5,4.07107511885903,0.119,0.570178588075494
"138","L","UZ",2,"16,23 1228",5,2.64611357852541,0.096,0.459394718493995
"139","L","UZ",2,"16,23 1228",5,2.48040560069148,0.0934,0.44261341910983
"140","L","UZ",2,"16,23 1228",5,5.52405038560421,0.1201,0.766590394893729
"141","L","UZ",1,"12,23 1228",5,4.64129619482504,0.0929,0.832668854471662
"142","L","UZ",1,"12,23 1228",5,3.48888518332503,0.0901,0.64537276791066
"143","L","UZ",1,"12,23 1228",5,5.47355770954367,0.0982,0.928981281321058
"144","L","UZ",1,"12,23 1228",5,3.55596704955701,0.0871,0.680437629077116
"145","L","UZ",1,"12,23 1228",5,5.13273298735008,0.1038,0.824138244596994
"146","L","UZ",1,"12,23 1228",5,4.87252113625431,0.0827,0.981967177802158
"147","L","UZ",1,"12,23 1228",4,4.10882496030494,0.0662,1.03444737167798
"148","L","UZ",1,"12,23 1228",4,2.58595102809611,0.0824,0.523048347106818
"149","L","UZ",1,"12,23 1228",4,5.38490885368137,0.0925,0.970253847510157
"150","L","UZ",1,"12,23 1228",4,4.96160860347222,0.1093,0.756573437552945
"151","L","UZ",1,"12,23 1228",4,3.5825811217511,0.0974,0.613035784009428
"152","L","UZ",1,"12,23 1228",4,3.41088318024401,0.0961,0.591551019813391
"153","L","UZ",1,"12,23 1228",4,3.14489982089559,0.0977,0.536489222261274
